authorId,url,name,affiliations,homepage,paperCount,citationCount,hIndex,fake,institutionid
89865807,https://www.semanticscholar.org/author/89865807,C. Kouame,[],,7,12,2,0,4605
39381384,https://www.semanticscholar.org/author/39381384,G. Loiseau,[],,117,2159,23,0,6765
47568825,https://www.semanticscholar.org/author/47568825,J. Grabulos,[],,28,184,7,0,5555
2977745,https://www.semanticscholar.org/author/2977745,R. Boulanger,[],,100,1973,27,0,4068
145769501,https://www.semanticscholar.org/author/145769501,C. Mestres,[],,138,3042,31,0,3472
1442042773,https://www.semanticscholar.org/author/1442042773,Ewelina Węglarz-Tomczak,[],,27,345,11,0,947
1849327,https://www.semanticscholar.org/author/1849327,Jakub M. Tomczak,[],,139,3813,25,0,847
143725191,https://www.semanticscholar.org/author/143725191,A. Eiben,[],,350,18230,52,0,5304
3395572,https://www.semanticscholar.org/author/3395572,P. Wolszczak,[],,56,429,12,0,3353
2074801355,https://www.semanticscholar.org/author/2074801355,Waldemar Samociuk,[],,20,37,4,0,2813
5472367,https://www.semanticscholar.org/author/5472367,J. Cunha,[],,30,586,12,0,8784
38109793,https://www.semanticscholar.org/author/38109793,A. Romaní,[],,135,3301,36,0,6141
143714839,https://www.semanticscholar.org/author/143714839,Carlos E. Costa,[],,32,415,11,0,1799
1397936808,https://www.semanticscholar.org/author/1397936808,I. Sá-Correia,[],,307,12596,64,0,5787
3642789,https://www.semanticscholar.org/author/3642789,L. Domingues,[],,365,6791,43,0,3599
17812873,https://www.semanticscholar.org/author/17812873,W. Pilap,[],,15,66,5,0,8100
3550720,https://www.semanticscholar.org/author/3550720,S. Thanonkeo,[],,38,370,9,0,5910
35041352,https://www.semanticscholar.org/author/35041352,P. Klanrit,[],,38,773,12,0,392
6540189,https://www.semanticscholar.org/author/6540189,P. Thanonkeo,[],,77,1134,19,0,2821
2158003125,https://www.semanticscholar.org/author/2158003125,Zhong-peng Guo,[],,24,724,15,0,1655
37138727,https://www.semanticscholar.org/author/37138727,L. Olsson,[],,466,14373,68,0,5023
1705177,https://www.semanticscholar.org/author/1705177,G. Farhadi,[],,42,996,17,0,4114
1744935,https://www.semanticscholar.org/author/1744935,N. Beaulieu,[],,783,18909,65,0,5587
88668231,https://www.semanticscholar.org/author/88668231,T. Szalai,[],,106,1193,21,0,2002
8756771,https://www.semanticscholar.org/author/8756771,Pingzhen Lin,[],,15,139,8,0,3904
50489529,https://www.semanticscholar.org/author/50489529,Huayu Bai,[],,15,105,6,0,277
8783259,https://www.semanticscholar.org/author/8783259,Jiwei Sun,[],,37,248,10,0,530
143786206,https://www.semanticscholar.org/author/143786206,W. Guo,[],,746,15557,57,0,418
2111117975,https://www.semanticscholar.org/author/2111117975,Huihui Zhang,[],,16,161,8,0,7964
152643419,https://www.semanticscholar.org/author/152643419,F. Cao,[],,96,1128,18,0,1221
2199931462,https://www.semanticscholar.org/author/2199931462,Carine de Mendonça Francisco,[],,1,0,0,0,3065
3723221,https://www.semanticscholar.org/author/3723221,L. Pavanin,[],,25,318,12,0,4943
47658809,https://www.semanticscholar.org/author/47658809,S. Morelli,[],,35,487,14,0,7829
2068988069,https://www.semanticscholar.org/author/2068988069,J. V. M. Bravo,[],,20,103,4,0,4399
4380860,https://www.semanticscholar.org/author/4380860,B. B. Pereira,[],,46,545,14,0,2169
1423354879,https://www.semanticscholar.org/author/1423354879,Sylvia Rojas-Hucks,[],,3,20,2,0,5038
1404038851,https://www.semanticscholar.org/author/1404038851,I. Rodriguez-Jorquera,[],,23,219,9,0,4979
2192864935,https://www.semanticscholar.org/author/2192864935,Jorge Nimpstch,[],,1,0,0,0,1008
8669725,https://www.semanticscholar.org/author/8669725,P. Bahamonde,[],,30,748,13,0,6625
2160957951,https://www.semanticscholar.org/author/2160957951,Julio A. Benavides,[],,5,1,1,0,8498
50721763,https://www.semanticscholar.org/author/50721763,G. Chiang,[],,53,740,15,0,8755
49008422,https://www.semanticscholar.org/author/49008422,J. Pulgar,[],,57,902,17,0,3137
1398323916,https://www.semanticscholar.org/author/1398323916,C. Galbán-Malagón,[],,51,1239,18,0,3034
2089247833,https://www.semanticscholar.org/author/2089247833,N. Mikkelsen,[],,3,7,2,0,8717
152991445,https://www.semanticscholar.org/author/152991445,G. H. Mikkelsen,[],,2,11,2,0,4214
4785764,https://www.semanticscholar.org/author/4785764,M. Holmstrup,[],,279,8434,45,0,3398
145416683,https://www.semanticscholar.org/author/145416683,J. Jensen,[],,75,3517,34,0,3087
2048321296,https://www.semanticscholar.org/author/2048321296,M. Ferreira,[],,8,18,2,0,1405
3978008,https://www.semanticscholar.org/author/3978008,R. Honji,[],,44,541,14,0,2559
4962970,https://www.semanticscholar.org/author/4962970,M. Ansaldo,[],,40,712,15,0,4021
38839888,https://www.semanticscholar.org/author/38839888,G. Genovese,[],,22,435,13,0,5240
115084385,https://www.semanticscholar.org/author/115084385,Luciana S Dorelle,[],,5,93,4,0,7079
114515001,https://www.semanticscholar.org/author/114515001,R. D. Da Cuña,[],,15,429,11,0,5746
8154045,https://www.semanticscholar.org/author/8154045,D. E. Sganga,[],,16,79,6,0,2234
7636255,https://www.semanticscholar.org/author/7636255,L. L. López Greco,[],,51,732,15,0,1533
47650983,https://www.semanticscholar.org/author/47650983,A. Çilingir Yeltekin,[],,13,72,6,0,4728
5026007,https://www.semanticscholar.org/author/5026007,A. Oğuz,[],,32,182,8,0,5498
2234989,https://www.semanticscholar.org/author/2234989,C. Höcht,[],,124,1688,21,0,4139
2064402709,https://www.semanticscholar.org/author/2064402709,A. Shimizu,[],,85,1662,25,0,3925
1397957864,https://www.semanticscholar.org/author/1397957864,M. Oliva-Hemker,[],,206,6391,44,0,8429
48850265,https://www.semanticscholar.org/author/48850265,S. Hutfless,[],,261,9772,43,0,5417
117261211,https://www.semanticscholar.org/author/117261211,Elie S. Al Kazzi,[],,19,150,4,0,2063
8118212,https://www.semanticscholar.org/author/8118212,T. Lerer,[],,124,4052,34,0,5700
144944581,https://www.semanticscholar.org/author/144944581,D. Mack,[],,483,19293,70,0,7021
6345759,https://www.semanticscholar.org/author/6345759,N. LeLeiko,[],,393,9590,49,0,6950
3668645,https://www.semanticscholar.org/author/3668645,A. Griffiths,[],,768,48761,102,0,5023
51214338,https://www.semanticscholar.org/author/51214338,J. Cabrera,[],,21,363,8,0,4368
144622692,https://www.semanticscholar.org/author/144622692,A. Otley,[],,345,10547,58,0,7086
35917525,https://www.semanticscholar.org/author/35917525,J. Rick,[],,18,284,7,0,7333
3159738,https://www.semanticscholar.org/author/3159738,A. Bousvaros,[],,327,15649,61,0,1949
6899055,https://www.semanticscholar.org/author/6899055,J. Rosh,[],,349,10123,45,0,8009
35617183,https://www.semanticscholar.org/author/35617183,A. Grossman,[],,78,1291,21,0,1316
4485013,https://www.semanticscholar.org/author/4485013,S. Saeed,[],,142,2907,28,0,1579
50559279,https://www.semanticscholar.org/author/50559279,M. Kay,[],,150,2870,27,0,5636
145077940,https://www.semanticscholar.org/author/145077940,Ryan S. Carvalho,[],,59,1585,16,0,5738
4691649,https://www.semanticscholar.org/author/4691649,D. Keljo,[],,188,5036,38,0,5779
12881311,https://www.semanticscholar.org/author/12881311,M. Pfefferkorn,[],,206,5463,40,0,6168
5066675,https://www.semanticscholar.org/author/5066675,W. Faubion,[],,327,10043,50,0,3307
3474435,https://www.semanticscholar.org/author/3474435,M. Kappelman,[],,452,14046,57,0,8394
16188316,https://www.semanticscholar.org/author/16188316,B. Sudel,[],,40,551,11,0,2334
47765721,https://www.semanticscholar.org/author/47765721,M. Schaefer,[],,34,261,5,0,8801
119135935,https://www.semanticscholar.org/author/119135935,J. Markowitz,[],,313,14603,58,0,6915
34646489,https://www.semanticscholar.org/author/34646489,J. Hyams,[],,641,27167,82,0,2993
35364477,https://www.semanticscholar.org/author/35364477,Y. Koike,[],,116,1875,22,0,3029
4721129,https://www.semanticscholar.org/author/4721129,Shozo Ide,[],,70,1036,18,0,6939
46967769,https://www.semanticscholar.org/author/46967769,Kiyoshi Hashimoto,[],,31,261,10,0,2198
3280068,https://www.semanticscholar.org/author/3280068,K. Matsushita,[],,128,913,18,0,8298
46756977,https://www.semanticscholar.org/author/46756977,Y. Ohkita,[],,6,8,2,0,492
1929495,https://www.semanticscholar.org/author/1929495,Minako Kobayashi,[],,161,2518,27,0,2980
6047768,https://www.semanticscholar.org/author/6047768,Y. Mohri,[],,302,5716,43,0,8052
31958599,https://www.semanticscholar.org/author/31958599,F. Gray,[],,16,187,7,0,681
2150166795,https://www.semanticscholar.org/author/2150166795,C. Turner,[],,28,583,14,0,6656
5357786,https://www.semanticscholar.org/author/5357786,D. Zurakowski,[],,1345,60837,121,0,7548
38122243,https://www.semanticscholar.org/author/38122243,B. Linden,[],,36,648,14,0,453
4300031,https://www.semanticscholar.org/author/4300031,R. Shamberger,[],,255,11239,61,0,5250
